id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated
7129300520,221900,3,1,1180,5650,1,0,0,3,7,1955,0
6414100192,538000,3,2.25,2570,7242,2,0,0,3,7,1951,1991
5631500400,180000,2,1,770,10000,1,0,0,3,6,1933,0
2487200875,604000,4,3,1960,5000,1,0,0,5,7,1965,0
1954400510,510000,3,2,1680,8080,1,0,0,3,8,1987,0
7237550310,1.23E+06,4,4.5,5420,101930,1,0,0,3,11,2001,0
1321400060,257500,3,2.25,1715,6819,2,0,0,3,7,1995,0
2008000270,291850,3,1.5,1060,9711,1,0,0,3,7,1963,0
2414600126,229500,3,1,1780,7470,1,0,0,3,7,1960,0
3793500160,323000,3,2.5,1890,6560,2,0,0,3,7,2003,0
1736800520,662500,3,2.5,3560,9796,1,0,0,3,8,1965,0
9212900260,468000,2,1,1160,6000,1,0,0,4,7,1942,0
114101516,310000,3,1,1430,19901,1.5,0,0,4,7,1927,0
6054650070,400000,3,1.75,1370,9680,1,0,0,4,7,1977,0
1175000570,530000,5,2,1810,4850,1.5,0,0,3,7,1900,0
9297300055,650000,4,3,2950,5000,2,0,3,3,9,1979,0
1875500060,395000,3,2,1890,14040,2,0,0,3,7,1994,0
6865200140,485000,4,1,1600,4300,1.5,0,0,4,7,1916,0
16000397,189000,2,1,1200,9850,1,0,0,4,7,1921,0
7983200060,230000,3,1,1250,9774,1,0,0,4,7,1969,0
6300500875,385000,4,1.75,1620,4980,1,0,0,4,7,1947,0
2524049179,2.00E+06,3,2.75,3050,44867,1,0,4,3,9,1968,0
7137970340,285000,5,2.5,2270,6300,2,0,0,3,8,1995,0
8091400200,252700,2,1.5,1070,9643,1,0,0,3,7,1985,0
3814700200,329000,3,2.25,2450,6500,2,0,0,4,8,1985,0
1202000200,233000,3,2,1710,4697,1.5,0,0,5,6,1941,0
1794500383,937000,3,1.75,2450,2691,2,0,0,3,8,1915,0
3303700376,667000,3,1,1400,1581,1.5,0,0,5,8,1909,0
5101402488,438000,3,1.75,1520,6380,1,0,0,3,7,1948,0
1873100390,719000,4,2.5,2570,7173,2,0,0,3,8,2005,0
8562750320,580500,3,2.5,2320,3980,2,0,0,3,8,2003,0
2426039314,280000,2,1.5,1190,1265,3,0,0,3,7,2005,0
461000390,687500,4,1.75,2330,5000,1.5,0,0,4,7,1929,0
7589200193,535000,3,1,1090,3000,1.5,0,0,4,8,1929,0
7955080270,322500,4,2.75,2060,6659,1,0,0,3,7,1981,0
9547205180,696000,3,2.5,2300,3060,1.5,0,0,3,8,1930,2002
9435300030,550000,4,1,1660,34848,1,0,0,1,5,1933,0
2768000400,640000,4,2,2360,6000,2,0,0,4,8,1904,0
7895500070,240000,4,1,1220,8075,1,0,0,2,7,1969,0
2078500320,605000,4,2.5,2620,7553,2,0,0,3,8,1996,0
5547700270,625000,4,2.5,2570,5520,2,0,0,3,9,2000,0
7766200013,775000,4,2.25,4220,24186,1,0,0,3,8,1984,0
7203220400,861990,5,2.75,3595,5639,2,0,0,3,9,2014,0
9270200160,685000,3,1,1570,2280,2,0,0,3,7,1922,0
1432701230,309000,3,1,1280,9656,1,0,0,4,6,1959,0
8035350320,488000,3,2.5,3160,13603,2,0,0,3,8,2003,0
8945200830,210490,3,1,990,8528,1,0,0,3,6,1966,0
4178300310,785000,4,2.5,2290,13416,2,0,0,4,9,1981,0
9215400105,450000,3,1.75,1250,5963,1,0,0,4,7,1953,0
822039084,1.35E+06,3,2.5,2753,65005,1,1,2,5,9,1953,0
5245600105,228000,3,1,1190,9199,1,0,0,3,7,1955,0
7231300125,345000,5,2.5,3150,9134,1,0,0,4,8,1966,0
7518505990,600000,3,1.75,1410,4080,1,0,0,4,7,1950,0
3626039271,585000,2,1.75,1980,8550,1,0,0,3,7,1981,0
4217401195,920000,5,2.25,2730,6000,1.5,0,0,3,8,1927,0
9822700295,885000,4,2.5,2830,5000,2,0,0,3,9,1995,0
9478500640,292500,4,2.5,2250,4495,2,0,0,3,7,2008,0
2799800710,301000,3,2.5,2420,4750,2,0,0,3,8,2003,0
7922800400,951000,5,3.25,3250,14342,2,0,4,4,8,1968,0
8079040320,430000,4,3,1850,9976,2,0,0,3,8,1991,0
1516000055,650000,3,2.25,2150,21235,1,0,3,4,8,1959,0
9558200045,289000,3,1.75,1260,8400,1,0,0,3,7,1954,0
5072410070,505000,3,1.75,2519,8690,2,0,0,5,8,1973,0
9528102996,549000,3,1.75,1540,1044,3,0,0,3,8,2014,0
1189001180,425000,3,2.25,1660,6000,1,0,0,3,7,1979,0
